description,sentiment,priority
"I can't log in to my account",negative,High
"This is not working at all. Very frustrating.",negative,High
"The projector is not working in the meeting room",negative,High
"My computer is running slow",negative,Medium
"My laptop battery drains quickly",negative,Medium
"I keep getting spam emails",negative,Medium
"I lost access to my shared drive",negative,High
"Network outage in building 2",negative,High
"Your instructions did not help. Disappointed.",negative,High

"Thank you for fixing my internet issue",positive,Low
"Thanks for your quick response!",positive,Low
"Thank you so much! That was very helpful.",positive,Low
"Wonderful assistance, I appreciate it",positive,Low
"Very helpful and professional",positive,Low
"Thanks for the excellent support",positive,Low

"How do I reset my email password?",neutral,Medium
"Please send me the installation guide.",neutral,Medium
"What is the wifi password?",neutral,Low
"What are the office IT support hours?",neutral,Low
"I'd like to schedule a maintenance check.",neutral,Low
"Request for software upgrade",neutral,Low
"Can you help me install the new CRM tool?",neutral,Medium
"When will the new security system be implemented?",neutral,Low

"The printer is acting weird",medium,Medium
"The wifi signal is intermittent",medium,Medium
"My email is delayed",medium,Medium
"The computer screen flickers occasionally",medium,Medium
"Need help configuring my VPN",medium,Medium
"Performance is slow today",medium,Medium
